日付,開始価格,最高価格,最低価格,終値,ボリューム,時価総額
2017年11月16日,"7,323.24","7,967.38","7,176.58","7,871.69","5,123,809,792","122,164,264,960"
2017年11月15日,"6,634.76","7,342.25","6,634.76","7,315.54","4,200,880,128","110,666,571,776"
2017年11月14日,"6,561.48","6,764.98","6,461.75","6,635.75","3,197,110,016","109,433,905,152"
2017年11月13日,"5,938.25","6,811.19","5,844.29","6,559.49","6,263,249,920","99,029,016,576"
2017年11月12日,"6,295.45","6,625.05","5,519.01","5,950.07","8,957,349,888","104,979,750,912"
2017年11月11日,"6,618.61","6,873.15","6,204.22","6,357.60","4,908,680,192","110,361,878,528"
2017年11月10日,"7,173.73","7,312.00","6,436.87","6,618.14","5,208,249,856","119,607,435,264"
2017年11月9日,"7,446.83","7,446.83","7,101.52","7,143.58","3,226,249,984","124,146,434,048"
2017年11月8日,"7,141.38","7,776.42","7,114.02","7,459.69","4,602,200,064","119,041,392,640"
2017年11月7日,"7,023.10","7,253.32","7,023.10","7,144.38","2,326,340,096","117,056,233,472"
2017年11月6日,"7,403.22","7,445.77","7,007.31","7,022.76","3,111,899,904","123,379,326,976"
2017年11月5日,"7,404.52","7,617.48","7,333.19","7,407.41","2,380,410,112","123,388,100,608"
2017年11月4日,"7,164.48","7,492.86","7,031.28","7,379.95","2,483,800,064","119,376,199,680"
2017年11月3日,"7,087.53","7,461.29","7,002.94","7,207.76","3,369,860,096","118,083,854,336"
2017年11月2日,"6,777.77","7,367.33","6,758.72","7,078.50","4,653,770,240","112,909,656,064"
2017年11月1日,"6,440.97","6,767.31","6,377.88","6,767.31","2,870,320,128","107,286,847,488"
2017年10月31日,"6,132.02","6,470.43","6,103.33","6,468.40","2,311,379,968","102,130,237,440"
2017年10月30日,"6,114.85","6,214.99","6,040.85","6,130.53","1,772,150,016","101,833,015,296"
2017年10月29日,"5,754.44","6,255.71","5,724.58","6,153.85","2,859,040,000","95,819,800,576"
2017年10月28日,"5,787.82","5,876.72","5,689.19","5,753.09","1,403,920,000","96,369,557,504"
2017年10月27日,"5,899.74","5,988.39","5,728.82","5,780.90","1,710,130,048","98,225,446,912"
2017年10月26日,"5,747.95","5,976.80","5,721.22","5,904.83","1,905,040,000","95,685,124,096"
2017年10月25日,"5,524.60","5,754.33","5,397.88","5,750.80","1,966,989,952","91,954,200,576"
2017年10月24日,"5,935.52","5,935.52","5,504.18","5,526.64","2,735,699,968","98,781,609,984"
2017年10月23日,"6,006.00","6,075.59","5,732.47","5,930.32","2,401,840,128","99,941,629,952"
2017年10月22日,"6,036.66","6,076.26","5,792.34","6,008.42","2,034,630,016","100,437,917,696"
2017年10月21日,"5,996.79","6,194.88","5,965.07","6,031.60","2,207,099,904","99,763,249,152"
2017年10月20日,"5,708.11","6,060.11","5,627.23","6,011.45","2,354,429,952","94,947,926,016"
2017年10月19日,"5,583.74","5,744.35","5,531.06","5,708.52","1,780,540,032","92,866,969,600"
2017年10月18日,"5,603.82","5,603.82","5,151.44","5,590.69","2,399,269,888","93,190,160,384"
2017年10月17日,"5,741.58","5,800.35","5,472.72","5,605.51","1,821,570,048","95,469,297,664"
2017年10月16日,"5,687.57","5,776.23","5,544.21","5,725.59","2,008,070,016","94,558,953,472"
2017年10月15日,"5,835.96","5,852.48","5,478.61","5,678.19","1,976,039,936","97,011,859,456"
2017年10月14日,"5,643.53","5,837.70","5,591.64","5,831.79","1,669,030,016","93,803,028,480"
2017年10月13日,"5,464.16","5,840.30","5,436.85","5,647.21","3,615,480,064","90,812,375,040"
2017年10月12日,"4,829.58","5,446.91","4,822.00","5,446.91","2,791,610,112","80,256,729,088"
2017年10月11日,"4,789.25","4,873.73","4,751.63","4,826.48","1,222,279,936","79,578,218,496"
2017年10月10日,"4,776.21","4,922.17","4,765.10","4,781.99","1,597,139,968","79,351,848,960"
2017年10月9日,"4,614.52","4,878.71","4,564.25","4,772.02","1,968,739,968","76,656,467,968"
2017年10月8日,"4,429.67","4,624.14","4,405.64","4,610.48","1,313,869,952","73,575,424,000"
2017年10月7日,"4,369.35","4,443.88","4,321.05","4,426.89","906,928,000","72,565,055,488"
2017年10月6日,"4,324.46","4,413.27","4,320.53","4,370.81","1,069,939,968","71,810,605,056"
2017年10月5日,"4,229.88","4,362.64","4,164.05","4,328.41","1,161,769,984","70,233,686,016"
2017年10月4日,"4,319.37","4,352.31","4,210.42","4,229.36","1,116,770,048","71,712,522,240"
2017年10月3日,"4,408.46","4,432.47","4,258.89","4,317.48","1,288,019,968","73,181,331,456"
2017年10月2日,"4,395.81","4,470.23","4,377.46","4,409.32","1,431,730,048","72,963,194,880"
2017年10月1日,"4,341.05","4,403.74","4,269.81","4,403.74","1,208,210,048","72,047,304,704"
2017年9月30日,"4,166.11","4,358.43","4,160.86","4,338.71","1,207,449,984","69,136,629,760"
2017年9月29日,"4,171.62","4,214.63","4,039.29","4,163.07","1,367,049,984","69,219,221,504"
2017年9月28日,"4,197.13","4,279.31","4,109.70","4,174.73","1,712,320,000","69,633,212,416"
2017年9月27日,"3,892.94","4,210.05","3,884.82","4,200.67","1,686,880,000","64,579,231,744"
2017年9月26日,"3,928.41","3,969.89","3,869.90","3,892.35","1,043,740,032","65,161,023,488"
2017年9月25日,"3,681.58","3,950.25","3,681.58","3,926.07","1,374,210,048","61,061,095,424"
2017年9月24日,"3,796.15","3,796.15","3,666.90","3,682.84","768,014,976","62,954,283,008"
2017年9月23日,"3,629.92","3,819.21","3,594.58","3,792.40","928,113,984","60,190,023,680"
2017年9月22日,"3,628.02","3,758.27","3,553.53","3,630.70","1,194,829,952","60,152,250,368"
2017年9月21日,"3,901.47","3,916.42","3,613.63","3,631.04","1,411,480,064","64,677,552,128"
2017年9月20日,"3,916.36","4,031.39","3,857.73","3,905.95","1,213,830,016","64,918,507,520"
2017年9月19日,"4,073.79","4,094.07","3,868.87","3,924.97","1,563,980,032","67,520,266,240"
2017年9月18日,"3,591.09","4,079.23","3,591.09","4,065.20","1,943,209,984","59,514,085,376"
2017年9月17日,"3,606.28","3,664.81","3,445.64","3,582.88","1,239,149,952","59,757,817,856"
2017年9月16日,"3,637.75","3,808.84","3,487.79","3,625.04","1,818,400,000","60,271,636,480"
2017年9月15日,"3,166.30","3,733.45","2,946.62","3,637.52","4,148,069,888","52,453,515,264"
2017年9月14日,"3,875.37","3,920.60","3,153.86","3,154.95","2,716,310,016","64,191,565,824"
2017年9月13日,"4,131.98","4,131.98","3,789.92","3,882.59","2,219,409,920","68,432,248,832"
2017年9月12日,"4,168.88","4,344.65","4,085.22","4,130.81","1,864,530,048","69,033,369,600"
2017年9月11日,"4,122.47","4,261.67","4,099.40","4,161.27","1,557,330,048","68,256,038,912"
2017年9月10日,"4,229.34","4,245.44","3,951.04","4,122.94","1,679,090,048","70,018,088,960"
2017年9月9日,"4,229.81","4,308.82","4,114.11","4,226.06","1,386,230,016","70,017,155,072"
2017年9月8日,"4,605.16","4,661.00","4,075.18","4,228.75","2,700,890,112","76,220,227,584"
2017年9月7日,"4,589.14","4,655.04","4,491.33","4,599.88","1,844,620,032","75,944,968,192"
2017年9月6日,"4,376.59","4,617.25","4,376.59","4,597.12","2,172,100,096","72,418,721,792"
2017年9月5日,"4,228.29","4,427.84","3,998.11","4,376.53","2,697,969,920","69,954,437,120"
2017年9月4日,"4,591.63","4,591.63","4,108.40","4,236.31","2,987,330,048","75,955,544,064"
2017年9月3日,"4,585.27","4,714.08","4,417.59","4,582.96","1,933,190,016","75,841,708,032"
2017年9月2日,"4,901.42","4,975.04","4,469.24","4,578.77","2,722,139,904","81,060,601,856"
2017年9月1日,"4,701.76","4,892.01","4,678.53","4,892.01","2,599,079,936","77,748,371,456"
2017年8月31日,"4,555.59","4,736.05","4,549.40","4,703.39","1,944,930,048","75,322,261,504"
2017年8月30日,"4,570.36","4,626.52","4,471.41","4,565.30","1,937,849,984","75,556,601,856"
2017年8月29日,"4,389.21","4,625.68","4,352.13","4,579.02","2,486,080,000","72,553,783,296"
2017年8月28日,"4,384.45","4,403.93","4,224.64","4,382.66","1,959,330,048","72,467,865,600"
2017年8月27日,"4,345.10","4,416.59","4,317.29","4,382.88","1,537,459,968","71,809,245,184"
2017年8月26日,"4,372.06","4,379.28","4,269.52","4,352.40","1,511,609,984","72,249,057,280"
2017年8月25日,"4,332.82","4,455.70","4,307.35","4,371.60","1,727,970,048","71,595,073,536"
2017年8月24日,"4,137.60","4,376.39","4,130.26","4,334.68","2,037,750,016","68,363,894,784"
2017年8月23日,"4,089.01","4,255.78","4,078.41","4,151.52","2,369,819,904","67,553,030,144"
2017年8月22日,"3,998.35","4,128.76","3,674.58","4,100.52","3,764,239,872","66,051,018,752"
2017年8月21日,"4,090.48","4,109.14","3,988.60","4,001.74","2,800,890,112","67,567,071,232"
2017年8月20日,"4,189.31","4,196.29","4,069.88","4,087.66","2,109,769,984","69,192,663,040"
2017年8月19日,"4,137.75","4,243.26","3,970.55","4,193.70","2,975,820,032","68,333,101,056"
2017年8月18日,"4,324.34","4,370.13","4,015.40","4,160.62","2,941,710,080","71,406,542,848"
2017年8月17日,"4,384.44","4,484.70","4,243.71","4,331.69","2,553,359,872","72,389,124,096"
2017年8月16日,"4,200.34","4,381.23","3,994.42","4,376.63","2,272,039,936","69,342,707,712"
2017年8月15日,"4,326.99","4,455.97","3,906.18","4,181.93","3,258,050,048","71,425,482,752"
2017年8月14日,"4,066.10","4,325.13","3,989.16","4,325.13","2,463,089,920","67,112,329,216"
2017年8月13日,"3,880.04","4,208.39","3,857.80","4,073.26","3,159,089,920","64,034,107,392"
2017年8月12日,"3,650.63","3,949.92","3,613.70","3,884.71","2,219,589,888","60,242,059,264"
2017年8月11日,"3,373.82","3,679.72","3,372.12","3,650.62","2,021,190,016","55,667,986,432"
2017年8月10日,"3,341.84","3,453.45","3,319.47","3,381.28","1,515,110,016","55,134,724,096"
2017年8月9日,"3,420.40","3,422.76","3,247.67","3,342.47","1,468,960,000","56,424,906,752"
2017年8月8日,"3,370.22","3,484.85","3,345.83","3,419.94","1,752,760,064","55,590,281,216"
2017年8月7日,"3,212.78","3,397.68","3,180.89","3,378.94","1,482,279,936","52,987,310,080"
2017年8月6日,"3,257.61","3,293.29","3,155.60","3,213.94","1,105,030,016","53,720,891,392"
2017年8月5日,"2,897.63","3,290.01","2,874.83","3,252.91","1,945,699,968","47,778,197,504"
2017年8月4日,"2,806.93","2,899.33","2,743.72","2,895.89","1,002,120,000","46,276,210,688"
2017年8月3日,"2,709.56","2,813.31","2,685.14","2,804.73","804,796,992","44,666,400,768"
2017年8月2日,"2,727.13","2,762.53","2,668.59","2,710.67","1,094,950,016","44,950,835,200"
2017年8月1日,"2,871.30","2,921.35","2,685.61","2,718.26","1,324,669,952","47,321,755,648"
2017年7月31日,"2,763.24","2,889.62","2,720.61","2,875.34","860,574,976","45,535,846,400"
2017年7月30日,"2,724.39","2,758.53","2,644.85","2,757.18","705,942,976","44,890,664,960"
2017年7月29日,"2,807.02","2,808.76","2,692.80","2,726.45","803,745,984","46,246,670,336"
2017年7月28日,"2,679.73","2,897.45","2,679.73","2,809.01","1,380,099,968","44,144,447,488"
